college_name,city,state,type,course,branch,nirf_rank,avg_package,jee_cutoff
Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,Govt,B.Tech,Aerospace Engineering,5,14.3,614
Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,Govt,B.Tech,Automobile Engineering,5,20.1,565
Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,Govt,B.Tech,Instrumentation Engineering,5,14.7,1321
Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,Govt,B.Tech,Chemical Engineering,5,21.1,932
Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,Govt,B.Tech,Mechanical Engineering,5,20.8,1661
Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,Govt,B.Tech,Cyber Security,5,21.6,261
Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,Govt,B.Tech,Mining Engineering,6,12.8,1649
Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,Govt,B.Tech,Biomedical Engineering,6,12.0,1697
Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,Govt,B.Tech,Instrumentation Engineering,6,11.8,1695
Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,Govt,B.Tech,Mechanical Engineering,6,16.0,949
Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,Govt,B.Tech,Artificial Intelligence & Machine Learning,6,19.6,170
Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,Govt,B.Tech,Electronics & Communication Engineering,6,14.3,686
Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,Govt,B.Tech,Electrical Engineering,6,10.1,724
Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,Govt,B.Tech,Biotechnology,6,14.5,827
Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,Govt,B.Tech,Industrial Engineering,8,13.8,523
Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,Govt,B.Tech,Electronics & Communication Engineering,8,13.8,734
Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,Govt,B.Tech,Biomedical Engineering,8,14.3,1599
Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,Govt,B.Tech,Textile Engineering,8,11.4,1812
Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,Govt,B.Tech,Instrumentation Engineering,8,12.0,1101
Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,Govt,B.Tech,Artificial Intelligence & Machine Learning,8,14.0,332
Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,Govt,B.Tech,Mechanical Engineering,8,15.1,1978
Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,Govt,B.Tech,Mining Engineering,8,15.8,1039
Indian Institute of Technology Guwahati,Guwahati,Assam,Govt,B.Tech,Civil Engineering,9,12.8,830
Indian Institute of Technology Guwahati,Guwahati,Assam,Govt,B.Tech,Petroleum Engineering,9,15.4,1586
Indian Institute of Technology Guwahati,Guwahati,Assam,Govt,B.Tech,Electrical Engineering,9,11.3,1726
Indian Institute of Technology Guwahati,Guwahati,Assam,Govt,B.Tech,Data Science,9,15.2,109
Indian Institute of Technology Guwahati,Guwahati,Assam,Govt,B.Tech,Chemical Engineering,9,15.2,1243
Indian Institute of Technology Guwahati,Guwahati,Assam,Govt,B.Tech,Electronics & Communication Engineering,9,10.7,1129
Indian Institute of Technology Guwahati,Guwahati,Assam,Govt,B.Tech,Automobile Engineering,9,15.1,993
Indian Institute of Technology Guwahati,Guwahati,Assam,Govt,B.Tech,Biomedical Engineering,9,9.6,661
Indian Institute of Technology Hyderabad,Hyderabad,Telangana,Govt,B.Tech,Mining Engineering,14,10.9,2676
Indian Institute of Technology Hyderabad,Hyderabad,Telangana,Govt,B.Tech,Electronics & Communication Engineering,14,13.2,5573
Indian Institute of Technology Hyderabad,Hyderabad,Telangana,Govt,B.Tech,Textile Engineering,14,10.5,5950
Indian Institute of Technology Hyderabad,Hyderabad,Telangana,Govt,B.Tech,Mechanical Engineering,14,14.3,4208
Indian Institute of Technology Hyderabad,Hyderabad,Telangana,Govt,B.Tech,Petroleum Engineering,14,10.4,4825
Indian Institute of Technology Hyderabad,Hyderabad,Telangana,Govt,B.Tech,Cyber Security,14,18.4,1138
Indian Institute of Technology Hyderabad,Hyderabad,Telangana,Govt,B.Tech,Aerospace Engineering,14,13.5,4751
Indian Institute of Technology Hyderabad,Hyderabad,Telangana,Govt,B.Tech,Artificial Intelligence & Machine Learning,14,23.9,1397
Indian Institute of Technology Indore,Indore,Madhya Pradesh,Govt,B.Tech,Instrumentation Engineering,23,8.4,4268
Indian Institute of Technology Indore,Indore,Madhya Pradesh,Govt,B.Tech,Electrical Engineering,23,7.0,2902
Indian Institute of Technology Indore,Indore,Madhya Pradesh,Govt,B.Tech,Aerospace Engineering,23,10.8,4899
Indian Institute of Technology Indore,Indore,Madhya Pradesh,Govt,B.Tech,Textile Engineering,23,7.4,2937
Indian Institute of Technology Indore,Indore,Madhya Pradesh,Govt,B.Tech,Electronics & Communication Engineering,23,12.2,2128
Indian Institute of Technology Indore,Indore,Madhya Pradesh,Govt,B.Tech,Civil Engineering,23,10.1,2290
Indian Institute of Technology Indore,Indore,Madhya Pradesh,Govt,B.Tech,Computer Science & Engineering,23,16.7,1070
Indian Institute of Technology Indore,Indore,Madhya Pradesh,Govt,B.Tech,Data Science,23,15.4,938
Indian Institute of Technology BHU Varanasi,Varanasi,Uttar Pradesh,Govt,B.Tech,Production Engineering,24,7.6,2386
Indian Institute of Technology BHU Varanasi,Varanasi,Uttar Pradesh,Govt,B.Tech,Automobile Engineering,24,9.1,3765
Indian Institute of Technology BHU Varanasi,Varanasi,Uttar Pradesh,Govt,B.Tech,Mining Engineering,24,9.8,3683
Indian Institute of Technology BHU Varanasi,Varanasi,Uttar Pradesh,Govt,B.Tech,Aerospace Engineering,24,7.3,4986
Indian Institute of Technology BHU Varanasi,Varanasi,Uttar Pradesh,Govt,B.Tech,Textile Engineering,24,12.9,4676
Indian Institute of Technology BHU Varanasi,Varanasi,Uttar Pradesh,Govt,B.Tech,Biomedical Engineering,24,7.4,2403
Indian Institute of Technology BHU Varanasi,Varanasi,Uttar Pradesh,Govt,B.Tech,Chemical Engineering,24,9.0,4982
Indian Institute of Technology BHU Varanasi,Varanasi,Uttar Pradesh,Govt,B.Tech,Electrical Engineering,24,7.7,5529
Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,Govt,B.Tech,Chemical Engineering,33,6.2,12579
Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,Govt,B.Tech,Automobile Engineering,33,7.2,6235
Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,Govt,B.Tech,Textile Engineering,33,5.5,14016
Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,Govt,B.Tech,Instrumentation Engineering,33,9.2,13856
Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,Govt,B.Tech,Mechanical Engineering,33,9.6,6528
Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,Govt,B.Tech,Production Engineering,33,5.8,8872
Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,Govt,B.Tech,Electronics & Communication Engineering,33,7.4,12956
Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,Govt,B.Tech,Mining Engineering,33,9.5,11570
Indian Institute of Technology Patna,Patna,Bihar,Govt,B.Tech,Civil Engineering,40,6.4,12454
Indian Institute of Technology Patna,Patna,Bihar,Govt,B.Tech,Biomedical Engineering,40,8.3,14105
Indian Institute of Technology Patna,Patna,Bihar,Govt,B.Tech,Computer Science & Engineering,40,9.2,5986
Indian Institute of Technology Patna,Patna,Bihar,Govt,B.Tech,Production Engineering,40,6.1,9861
Indian Institute of Technology Patna,Patna,Bihar,Govt,B.Tech,Artificial Intelligence & Machine Learning,40,12.6,2479
Indian Institute of Technology Patna,Patna,Bihar,Govt,B.Tech,Instrumentation Engineering,40,5.3,13883
Indian Institute of Technology Patna,Patna,Bihar,Govt,B.Tech,Petroleum Engineering,40,5.3,10138
Indian Institute of Technology Patna,Patna,Bihar,Govt,B.Tech,Industrial Engineering,40,7.4,14571
Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,Govt,B.Tech,Petroleum Engineering,41,5.3,14749
Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,Govt,B.Tech,Civil Engineering,41,7.0,8853
Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,Govt,B.Tech,Information Technology,41,10.0,6666
Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,Govt,B.Tech,Automobile Engineering,41,5.2,14740
Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,Govt,B.Tech,Electronics & Communication Engineering,41,7.1,6343
Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,Govt,B.Tech,Industrial Engineering,41,7.8,14562
Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,Govt,B.Tech,Mining Engineering,41,9.7,10183
Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,Govt,B.Tech,Textile Engineering,41,8.3,8346
Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,Govt,B.Tech,Cyber Security,46,10.5,5745
Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,Govt,B.Tech,Aerospace Engineering,46,5.0,6188
Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,Govt,B.Tech,Artificial Intelligence & Machine Learning,46,16.0,7088
Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,Govt,B.Tech,Biomedical Engineering,46,5.4,6638
Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,Govt,B.Tech,Mechanical Engineering,46,7.5,8492
Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,Govt,B.Tech,Automobile Engineering,46,9.7,7170
Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,Govt,B.Tech,Instrumentation Engineering,46,9.4,6127
Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,Govt,B.Tech,Mining Engineering,46,6.4,11054
Indian Institute of Technology Ropar,Ropar,Punjab,Govt,B.Tech,Instrumentation Engineering,51,9.7,19810
Indian Institute of Technology Ropar,Ropar,Punjab,Govt,B.Tech,Textile Engineering,51,9.7,13394
Indian Institute of Technology Ropar,Ropar,Punjab,Govt,B.Tech,Data Science,51,10.1,7200
Indian Institute of Technology Ropar,Ropar,Punjab,Govt,B.Tech,Petroleum Engineering,51,8.7,13507
Indian Institute of Technology Ropar,Ropar,Punjab,Govt,B.Tech,Computer Science & Engineering,51,10.2,7546
Indian Institute of Technology Ropar,Ropar,Punjab,Govt,B.Tech,Cyber Security,51,9.7,14909
Indian Institute of Technology Ropar,Ropar,Punjab,Govt,B.Tech,Industrial Engineering,51,6.0,21235
Indian Institute of Technology Ropar,Ropar,Punjab,Govt,B.Tech,Artificial Intelligence & Machine Learning,51,14.8,15391
Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,Govt,B.Tech,Petroleum Engineering,53,5.0,11444
Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,Govt,B.Tech,Mining Engineering,53,8.2,14286
Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,Govt,B.Tech,Artificial Intelligence & Machine Learning,53,9.3,9291
Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,Govt,B.Tech,Information Technology,53,12.4,12239
Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,Govt,B.Tech,Electronics & Communication Engineering,53,7.8,24014
Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,Govt,B.Tech,Cyber Security,53,8.6,6832
Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,Govt,B.Tech,Chemical Engineering,53,9.5,32643
Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,Govt,B.Tech,Mechanical Engineering,53,5.2,27877
Indian Institute of Technology Tirupati,Tirupati,Andhra Pradesh,Govt,B.Tech,Biotechnology,60,9.5,21948
Indian Institute of Technology Tirupati,Tirupati,Andhra Pradesh,Govt,B.Tech,Production Engineering,60,9.5,11307
Indian Institute of Technology Tirupati,Tirupati,Andhra Pradesh,Govt,B.Tech,Textile Engineering,60,8.4,16883
Indian Institute of Technology Tirupati,Tirupati,Andhra Pradesh,Govt,B.Tech,Mechanical Engineering,60,5.5,31854
Indian Institute of Technology Tirupati,Tirupati,Andhra Pradesh,Govt,B.Tech,Industrial Engineering,60,9.4,28346
Indian Institute of Technology Tirupati,Tirupati,Andhra Pradesh,Govt,B.Tech,Electronics & Communication Engineering,60,9.9,23316
Indian Institute of Technology Tirupati,Tirupati,Andhra Pradesh,Govt,B.Tech,Computer Science & Engineering,60,9.2,17279
Indian Institute of Technology Tirupati,Tirupati,Andhra Pradesh,Govt,B.Tech,Petroleum Engineering,60,9.3,17757
Indian Institute of Technology Palakkad,Palakkad,Kerala,Govt,B.Tech,Civil Engineering,65,7.5,31951
Indian Institute of Technology Palakkad,Palakkad,Kerala,Govt,B.Tech,Industrial Engineering,65,5.1,18131
Indian Institute of Technology Palakkad,Palakkad,Kerala,Govt,B.Tech,Computer Science & Engineering,65,10.2,17900
Indian Institute of Technology Palakkad,Palakkad,Kerala,Govt,B.Tech,Automobile Engineering,65,7.5,22535
Indian Institute of Technology Palakkad,Palakkad,Kerala,Govt,B.Tech,Cyber Security,65,8.8,19067
Indian Institute of Technology Palakkad,Palakkad,Kerala,Govt,B.Tech,Biomedical Engineering,65,7.3,16539
Indian Institute of Technology Palakkad,Palakkad,Kerala,Govt,B.Tech,Chemical Engineering,65,5.4,25083
Indian Institute of Technology Palakkad,Palakkad,Kerala,Govt,B.Tech,Instrumentation Engineering,65,4.9,17457
Indian Institute of Technology Dharwad,Dharwad,Karnataka,Govt,B.Tech,Chemical Engineering,70,6.0,31020
Indian Institute of Technology Dharwad,Dharwad,Karnataka,Govt,B.Tech,Biomedical Engineering,70,7.9,32266
Indian Institute of Technology Dharwad,Dharwad,Karnataka,Govt,B.Tech,Cyber Security,70,8.0,13785
Indian Institute of Technology Dharwad,Dharwad,Karnataka,Govt,B.Tech,Artificial Intelligence & Machine Learning,70,6.7,5452
Indian Institute of Technology Dharwad,Dharwad,Karnataka,Govt,B.Tech,Electronics & Communication Engineering,70,4.7,18559
Indian Institute of Technology Dharwad,Dharwad,Karnataka,Govt,B.Tech,Production Engineering,70,4.2,18698
Indian Institute of Technology Dharwad,Dharwad,Karnataka,Govt,B.Tech,Mechanical Engineering,70,5.7,29548
Indian Institute of Technology Dharwad,Dharwad,Karnataka,Govt,B.Tech,Civil Engineering,70,7.1,33872
Indian Institute of Technology Bhilai,Bhilai,Chhattisgarh,Govt,B.Tech,Industrial Engineering,75,4.0,24288
Indian Institute of Technology Bhilai,Bhilai,Chhattisgarh,Govt,B.Tech,Petroleum Engineering,75,6.7,27643
Indian Institute of Technology Bhilai,Bhilai,Chhattisgarh,Govt,B.Tech,Electrical Engineering,75,6.9,34312
Indian Institute of Technology Bhilai,Bhilai,Chhattisgarh,Govt,B.Tech,Biomedical Engineering,75,5.5,16456
Indian Institute of Technology Bhilai,Bhilai,Chhattisgarh,Govt,B.Tech,Chemical Engineering,75,7.8,12292
Indian Institute of Technology Bhilai,Bhilai,Chhattisgarh,Govt,B.Tech,Mechanical Engineering,75,6.5,20819
Indian Institute of Technology Bhilai,Bhilai,Chhattisgarh,Govt,B.Tech,Computer Science & Engineering,75,11.1,15868
Indian Institute of Technology Bhilai,Bhilai,Chhattisgarh,Govt,B.Tech,Biotechnology,75,7.6,33584
Indian Institute of Technology Goa,Panjim,Goa,Govt,B.Tech,Petroleum Engineering,78,4.8,14170
Indian Institute of Technology Goa,Panjim,Goa,Govt,B.Tech,Data Science,78,11.6,15894
Indian Institute of Technology Goa,Panjim,Goa,Govt,B.Tech,Industrial Engineering,78,7.0,32194
Indian Institute of Technology Goa,Panjim,Goa,Govt,B.Tech,Cyber Security,78,9.7,7851
Indian Institute of Technology Goa,Panjim,Goa,Govt,B.Tech,Biomedical Engineering,78,5.6,19861
Indian Institute of Technology Goa,Panjim,Goa,Govt,B.Tech,Biotechnology,78,5.2,10013
Indian Institute of Technology Goa,Panjim,Goa,Govt,B.Tech,Mechanical Engineering,78,5.7,16887
Indian Institute of Technology Goa,Panjim,Goa,Govt,B.Tech,Artificial Intelligence & Machine Learning,78,9.6,14502
Indian Institute of Technology Jammu,Jammu,Jammu & Kashmir,Govt,B.Tech,Cyber Security,82,11.8,19764
Indian Institute of Technology Jammu,Jammu,Jammu & Kashmir,Govt,B.Tech,Instrumentation Engineering,82,4.7,34115
Indian Institute of Technology Jammu,Jammu,Jammu & Kashmir,Govt,B.Tech,Production Engineering,82,5.1,12778
Indian Institute of Technology Jammu,Jammu,Jammu & Kashmir,Govt,B.Tech,Textile Engineering,82,6.5,31753
Indian Institute of Technology Jammu,Jammu,Jammu & Kashmir,Govt,B.Tech,Chemical Engineering,82,4.4,20983
Indian Institute of Technology Jammu,Jammu,Jammu & Kashmir,Govt,B.Tech,Artificial Intelligence & Machine Learning,82,7.4,17306
Indian Institute of Technology Jammu,Jammu,Jammu & Kashmir,Govt,B.Tech,Aerospace Engineering,82,4.9,20171
Indian Institute of Technology Jammu,Jammu,Jammu & Kashmir,Govt,B.Tech,Biomedical Engineering,82,4.6,16525
Indian Institute of Technology Bombay (IITB-Monash),Mumbai,Maharashtra,Govt,B.Tech,Information Technology,3,30.2,199
Indian Institute of Technology Bombay (IITB-Monash),Mumbai,Maharashtra,Govt,B.Tech,Aerospace Engineering,3,16.9,1286
Indian Institute of Technology Bombay (IITB-Monash),Mumbai,Maharashtra,Govt,B.Tech,Mining Engineering,3,13.5,999
Indian Institute of Technology Bombay (IITB-Monash),Mumbai,Maharashtra,Govt,B.Tech,Electronics & Communication Engineering,3,12.1,1908
Indian Institute of Technology Bombay (IITB-Monash),Mumbai,Maharashtra,Govt,B.Tech,Instrumentation Engineering,3,19.8,718
Indian Institute of Technology Bombay (IITB-Monash),Mumbai,Maharashtra,Govt,B.Tech,Chemical Engineering,3,13.8,948
Indian Institute of Technology Bombay (IITB-Monash),Mumbai,Maharashtra,Govt,B.Tech,Cyber Security,3,26.8,456
Indian Institute of Technology Bombay (IITB-Monash),Mumbai,Maharashtra,Govt,B.Tech,Data Science,3,27.5,125
National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,Govt,B.Tech,Electrical Engineering,10,13.3,1406
National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,Govt,B.Tech,Instrumentation Engineering,10,15.2,1973
National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,Govt,B.Tech,Mechanical Engineering,10,14.8,1373
National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,Govt,B.Tech,Production Engineering,10,12.1,1622
National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,Govt,B.Tech,Cyber Security,10,22.2,181
National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,Govt,B.Tech,Biomedical Engineering,10,12.2,1472
National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,Govt,Integrated M.Sc,Integrated M.Sc Physics,10,10.9,1805
National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,Govt,B.Sc,B.Sc Biology (Hons.),10,12.4,1567
National Institute of Technology Surathkal,Mangalore,Karnataka,Govt,B.Tech,Aerospace Engineering,12,11.4,3112
National Institute of Technology Surathkal,Mangalore,Karnataka,Govt,B.Tech,Artificial Intelligence & Machine Learning,12,19.9,2328
National Institute of Technology Surathkal,Mangalore,Karnataka,Govt,B.Tech,Instrumentation Engineering,12,10.1,2566
National Institute of Technology Surathkal,Mangalore,Karnataka,Govt,B.Tech,Electronics & Communication Engineering,12,13.9,3568
National Institute of Technology Surathkal,Mangalore,Karnataka,Govt,B.Tech,Data Science,12,16.4,1946
National Institute of Technology Surathkal,Mangalore,Karnataka,Govt,B.Tech,Electrical Engineering,12,11.9,3699
National Institute of Technology Surathkal,Mangalore,Karnataka,Govt,B.Sc,B.Sc Biochemistry,12,9.4,3703
National Institute of Technology Surathkal,Mangalore,Karnataka,Govt,B.Sc,B.Sc Microbiology,12,11.9,5411
National Institute of Technology Warangal,Warangal,Telangana,Govt,B.Tech,Production Engineering,17,11.5,3223
National Institute of Technology Warangal,Warangal,Telangana,Govt,B.Tech,Computer Science & Engineering,17,18.9,2247
National Institute of Technology Warangal,Warangal,Telangana,Govt,B.Tech,Biomedical Engineering,17,9.5,5423
National Institute of Technology Warangal,Warangal,Telangana,Govt,B.Tech,Mining Engineering,17,11.4,5061
National Institute of Technology Warangal,Warangal,Telangana,Govt,B.Tech,Automobile Engineering,17,10.6,5276
National Institute of Technology Warangal,Warangal,Telangana,Govt,B.Tech,Civil Engineering,17,9.9,2903
National Institute of Technology Warangal,Warangal,Telangana,Govt,B.Sc,B.Sc Computer Science,17,7.2,3989
National Institute of Technology Warangal,Warangal,Telangana,Govt,B.Sc,B.Sc Biotechnology,17,11.0,3376
National Institute of Technology Rourkela,Rourkela,Odisha,Govt,B.Tech,Biomedical Engineering,20,10.6,3613
National Institute of Technology Rourkela,Rourkela,Odisha,Govt,B.Tech,Civil Engineering,20,7.2,4715
National Institute of Technology Rourkela,Rourkela,Odisha,Govt,B.Tech,Instrumentation Engineering,20,9.6,4632
National Institute of Technology Rourkela,Rourkela,Odisha,Govt,B.Tech,Mechanical Engineering,20,9.8,5550
National Institute of Technology Rourkela,Rourkela,Odisha,Govt,B.Tech,Computer Science & Engineering,20,12.6,602
National Institute of Technology Rourkela,Rourkela,Odisha,Govt,B.Tech,Textile Engineering,20,8.3,3340
National Institute of Technology Rourkela,Rourkela,Odisha,Govt,B.Sc,B.Sc Statistics,20,12.3,5117
National Institute of Technology Rourkela,Rourkela,Odisha,Govt,Integrated M.Sc,Integrated M.Sc Mathematics,20,11.5,3139
National Institute of Technology Calicut,Calicut,Kerala,Govt,B.Tech,Industrial Engineering,22,7.3,4209
National Institute of Technology Calicut,Calicut,Kerala,Govt,B.Tech,Artificial Intelligence & Machine Learning,22,13.5,2449
National Institute of Technology Calicut,Calicut,Kerala,Govt,B.Tech,Electronics & Communication Engineering,22,7.4,4662
National Institute of Technology Calicut,Calicut,Kerala,Govt,B.Tech,Mining Engineering,22,10.9,5921
National Institute of Technology Calicut,Calicut,Kerala,Govt,B.Tech,Computer Science & Engineering,22,10.3,2044
National Institute of Technology Calicut,Calicut,Kerala,Govt,B.Tech,Biotechnology,22,8.2,3012
National Institute of Technology Calicut,Calicut,Kerala,Govt,B.Sc,B.Sc Physics (Hons.),22,8.4,2624
National Institute of Technology Calicut,Calicut,Kerala,Govt,B.Sc,B.Sc Environmental Science,22,11.0,3939
National Institute of Technology Durgapur,Durgapur,West Bengal,Govt,B.Tech,Production Engineering,28,10.6,14926
National Institute of Technology Durgapur,Durgapur,West Bengal,Govt,B.Tech,Chemical Engineering,28,11.7,6876
National Institute of Technology Durgapur,Durgapur,West Bengal,Govt,B.Tech,Instrumentation Engineering,28,12.8,7683
National Institute of Technology Durgapur,Durgapur,West Bengal,Govt,B.Tech,Artificial Intelligence & Machine Learning,28,15.8,2885
National Institute of Technology Durgapur,Durgapur,West Bengal,Govt,B.Tech,Biotechnology,28,10.5,10111
National Institute of Technology Durgapur,Durgapur,West Bengal,Govt,B.Tech,Electronics & Communication Engineering,28,9.4,11149
National Institute of Technology Durgapur,Durgapur,West Bengal,Govt,B.Sc,B.Sc Forensic Science,28,10.6,6245
National Institute of Technology Durgapur,Durgapur,West Bengal,Govt,B.Sc,B.Sc Biology (Hons.),28,7.6,8978
National Institute of Technology Silchar,Silchar,Assam,Govt,B.Tech,Data Science,35,8.6,5035
National Institute of Technology Silchar,Silchar,Assam,Govt,B.Tech,Electrical Engineering,35,5.1,10590
National Institute of Technology Silchar,Silchar,Assam,Govt,B.Tech,Information Technology,35,14.6,5441
National Institute of Technology Silchar,Silchar,Assam,Govt,B.Tech,Biotechnology,35,7.2,6729
National Institute of Technology Silchar,Silchar,Assam,Govt,B.Tech,Industrial Engineering,35,8.2,10934
National Institute of Technology Silchar,Silchar,Assam,Govt,B.Tech,Cyber Security,35,13.7,5766
National Institute of Technology Silchar,Silchar,Assam,Govt,B.Sc,B.Sc Biotechnology,35,9.8,13548
National Institute of Technology Silchar,Silchar,Assam,Govt,B.Sc,B.Sc Mathematics (Hons.),35,8.1,9425
National Institute of Technology Jaipur,Jaipur,Rajasthan,Govt,B.Tech,Textile Engineering,37,9.2,9022
National Institute of Technology Jaipur,Jaipur,Rajasthan,Govt,B.Tech,Mining Engineering,37,6.4,6419
National Institute of Technology Jaipur,Jaipur,Rajasthan,Govt,B.Tech,Instrumentation Engineering,37,6.2,12385
